symbol,change_point_date,direction,magnitude
ACB,2022-10-04,1,0.008123
ACB,2022-10-11,1,0.016943
ACB,2022-10-18,1,0.002792
ACB,2022-10-25,1,0.009239
ACB,2022-11-01,-1,0.002167
ACB,2022-11-08,1,0.001688
ACB,2023-07-31,-1,0.000903
ACB,2023-08-07,-1,0.009326
ACB,2023-08-21,1,0.001356
ACB,2025-08-01,1,0.00542
ACB,2025-08-22,-1,0.019819
ACB,2025-09-23,1,0.007191
BCM,2022-02-22,-1,0.011118
BCM,2022-03-15,1,0.007769
BCM,2022-05-06,-1,0.016468
BCM,2022-07-08,1,0.022059
BCM,2022-09-20,-1,0.016619
BCM,2022-11-15,1,0.011019
BCM,2024-04-04,-1,0.006699
BCM,2024-04-26,1,0.019717
BCM,2024-05-22,-1,0.009792
BCM,2025-03-31,-1,0.017823
BCM,2025-04-22,1,0.021658
BCM,2025-12-30,1,0.008398
BCM,2026-01-22,-1,0.016094
BCM,2026-01-29,-1,0.00818
BCM,2026-02-05,-1,0.014017
BID,2022-01-25,-1,0.019177
BID,2022-06-24,1,0.014393
BID,2022-07-08,1,0.001408
BID,2022-09-06,-1,0.011507
BID,2022-10-11,1,0.015552
BID,2022-10-18,1,0.006892
BID,2022-10-25,1,0.012631
BID,2022-11-01,1,0.002144
BID,2026-01-08,1,0.008496
BID,2026-01-15,-1,0.025196
BVH,2022-05-06,-1,0.008715
BVH,2022-05-20,1,0.015804
BVH,2022-09-27,-1,0.010265
BVH,2022-10-04,1,0.011618
BVH,2024-11-29,1,0.005707
BVH,2024-12-06,-1,0.011638
BVH,2025-03-31,-1,0.004719
BVH,2025-04-08,1,0.015377
BVH,2025-08-08,1,0.00639
BVH,2025-08-15,-1,0.007817
BVH,2025-10-14,1,0.00599
BVH,2025-10-21,1,0.016987
BVH,2025-11-04,-1,0.001512
BVH,2025-12-16,1,0.014422
BVH,2026-01-22,-1,0.006286
BVH,2026-01-29,1,0.000531
BVH,2026-02-05,-1,0.016029
BVH,2026-02-12,-1,0.008706
BVH,2026-02-26,-1,0.00764
BVH,2026-03-19,1,0.012228
BVH,2026-03-26,-1,0.001446
CTG,2022-04-05,-1,0.009251
CTG,2022-05-13,1,0.015915
CTG,2022-06-10,-1,0.007733
CTG,2022-06-17,1,0.007206
CTG,2022-08-26,-1,0.011989
CTG,2022-10-11,1,0.019349
CTG,2022-10-18,1,0.009057
CTG,2022-10-25,1,0.012483
CTG,2022-11-01,-1,0.001282
CTG,2022-11-22,-1,0.000177
CTG,2022-11-29,-1,0.007567
CTG,2025-10-14,-1,0.011398
CTG,2025-10-21,-1,5.9e-05
CTG,2025-12-30,1,0.001532
CTG,2026-01-15,-1,0.013857
FPT,2022-01-25,1,0.010231
FPT,2022-04-20,-1,0.015272
FPT,2022-05-13,1,0.016297
FPT,2022-06-10,-1,0.016168
FPT,2022-11-22,1,0.005138
FPT,2023-10-25,1,0.000758
FPT,2023-11-01,1,0.009919
FPT,2025-02-03,-1,0.005651
FPT,2025-04-29,1,0.009569
FPT,2025-05-16,-1,0.005551
FPT,2025-10-21,1,0.014277
FPT,2025-11-04,-1,0.008393
FPT,2025-11-11,-1,0.001006
FPT,2026-01-29,-1,0.015403
GAS,2022-03-08,-1,0.009291
GAS,2022-03-15,1,0.005849
GAS,2022-05-27,1,0.004749
GAS,2022-06-10,-1,0.023346
GAS,2022-07-01,-1,0.001357
GAS,2022-07-08,1,0.02124
GAS,2025-03-31,-1,0.005831
GAS,2025-04-08,1,0.009466
GAS,2025-06-13,1,0.003632
GAS,2025-06-20,-1,0.011094
GAS,2025-12-23,1,0.022669
GAS,2026-01-15,-1,0.029597
GAS,2026-02-05,-1,0.0193
GAS,2026-02-12,-1,0.00293
GAS,2026-03-05,-1,0.028113
GAS,2026-03-12,-1,0.009082
GVR,2022-01-25,1,0.019798
GVR,2022-04-20,-1,0.021667
GVR,2022-05-13,1,0.027348
GVR,2022-06-10,-1,0.023086
GVR,2022-07-08,1,0.022524
GVR,2022-09-06,-1,0.018057
GVR,2022-11-15,1,0.037664
GVR,2022-12-06,-1,0.01458
GVR,2023-09-20,-1,0.010774
GVR,2023-09-27,1,0.005592
GVR,2023-10-25,-1,0.00386
GVR,2023-11-01,1,0.014144
GVR,2024-07-17,-1,0.013059
GVR,2024-07-24,1,0.011542
GVR,2025-03-31,-1,0.021682
GVR,2025-04-08,1,0.007579
GVR,2025-12-30,1,0.020565
GVR,2026-01-15,-1,0.018996
GVR,2026-02-05,-1,0.025228
GVR,2026-02-12,-1,0.000411
GVR,2026-03-05,-1,0.021302
GVR,2026-03-26,1,0.023093
HDB,2022-11-01,1,0.002802
HDB,2022-11-08,1,0.016426
HDB,2023-02-22,-1,0.009202
HDB,2023-03-01,1,0.00764
HDB,2025-01-06,-1,0.007957
HDB,2025-01-13,1,0.00785
HDB,2025-06-27,1,0.012829
HDB,2025-08-22,-1,0.016163
HDB,2025-12-09,1,0.002036
HDB,2025-12-16,1,0.009011
HDB,2025-12-23,-1,0.002272
HPG,2022-01-25,1,0.016161
HPG,2022-03-08,-1,0.014
HPG,2022-06-24,1,0.01181
HPG,2022-09-27,-1,0.012467
HPG,2022-10-11,-1,0.001593
HPG,2022-10-18,-1,0.014659
HPG,2022-11-15,1,0.043902
HPG,2022-12-06,-1,0.020823
HPG,2022-12-13,-1,0.017967
HPG,2022-12-20,-1,0.010563
HPG,2022-12-27,1,0.010625
HPG,2023-02-01,-1,0.017825
HPG,2023-02-08,1,0.002011
HPG,2025-08-01,1,0.000281
HPG,2025-08-08,-1,0.005555
LPB,2022-01-25,1,0.005043
LPB,2022-02-08,-1,0.011543
LPB,2022-05-06,1,0.00337
LPB,2022-05-13,1,0.021683
LPB,2022-06-10,-1,0.012115
LPB,2022-06-17,1,0.012295
LPB,2022-09-06,-1,0.012498
LPB,2022-10-11,1,0.021229
LPB,2022-10-18,1,0.007422
LPB,2022-10-25,1,0.026043
LPB,2022-11-01,1,0.006492
LPB,2022-11-15,1,0.023253
LPB,2022-12-06,-1,0.014427
LPB,2023-04-05,-1,0.011638
LPB,2023-04-26,1,0.011593
LPB,2023-09-13,-1,0.013095
LPB,2023-09-27,1,0.014179
LPB,2024-05-15,1,0.008811
LPB,2024-05-29,-1,0.003114
LPB,2025-08-08,1,0.00531
LPB,2025-08-22,-1,0.017501
MBB,2022-02-08,-1,0.010273
MBB,2022-05-06,1,0.003282
MBB,2022-05-13,1,0.015472
MBB,2022-06-10,-1,0.009135
MBB,2022-06-17,1,0.004749
MBB,2022-09-06,-1,0.014105
MBB,2022-10-25,1,0.012979
MBB,2022-11-01,1,0.001311
MBB,2022-11-15,1,0.014717
MBB,2022-12-06,-1,0.008403
MBB,2022-12-27,1,0.008776
MBB,2025-08-01,1,0.011101
MBB,2025-08-15,-1,0.017282
MSN,2022-01-18,1,0.024647
MSN,2022-03-08,-1,0.00603
MSN,2022-03-15,1,0.01042
MSN,2022-05-06,1,0.000445
MSN,2022-05-13,1,0.015782
MSN,2022-09-27,-1,0.017268
MSN,2022-10-11,1,0.020258
MSN,2022-10-25,1,0.032942
MSN,2022-11-01,1,0.011152
MSN,2022-12-06,-1,0.015341
MSN,2023-10-25,1,0.002614
MSN,2023-11-01,1,0.014604
MSN,2025-03-31,-1,0.005171
MSN,2025-04-08,1,0.012818
MWG,2022-06-17,-1,0.020576
MWG,2022-07-08,1,0.007827
MWG,2022-09-13,-1,0.021019
MWG,2022-11-01,-1,0.005348
MWG,2022-11-08,1,0.019606
MWG,2022-11-29,1,0.015524
MWG,2022-12-06,-1,0.009237
MWG,2023-05-29,1,0.005131
MWG,2023-09-20,-1,0.014079
MWG,2023-11-01,1,0.013498
PLX,2022-03-08,-1,0.009719
PLX,2022-03-15,1,0.002535
PLX,2022-05-06,1,0.0038
PLX,2022-05-13,1,0.027061
PLX,2022-06-10,-1,0.018945
PLX,2022-06-17,-1,0.004249
PLX,2022-08-26,-1,0.0126
PLX,2022-11-22,1,0.014452
PLX,2022-12-06,-1,0.005952
PLX,2022-12-27,1,0.008451
PLX,2023-01-11,-1,0.006946
PLX,2025-12-30,1,0.021036
PLX,2026-01-22,-1,0.026707
PLX,2026-02-05,-1,0.022662
PLX,2026-02-12,-1,0.006441
PLX,2026-03-05,-1,0.035029
PLX,2026-03-26,1,0.014713
SAB,2022-01-25,1,0.009741
SAB,2022-02-15,-1,0.008856
SAB,2022-07-15,1,0.008541
SAB,2022-08-05,-1,0.007653
SAB,2023-09-13,-1,0.013107
SAB,2023-10-25,-1,0.00025
SAB,2023-11-01,1,0.017496
SAB,2023-11-08,1,0.001904
SAB,2024-06-05,-1,0.003276
SAB,2024-06-12,-1,0.015045
SAB,2024-06-26,-1,0.003125
SAB,2025-03-31,1,0.004064
SAB,2025-04-08,1,0.013982
SAB,2025-04-15,1,0.002872
SAB,2025-04-22,1,0.005937
SAB,2025-04-29,-1,0.003829
SAB,2025-11-25,1,0.002843
SAB,2025-12-09,-1,0.011882
SAB,2026-01-08,1,0.009896
SAB,2026-01-15,-1,0.010051
SHB,2022-04-05,-1,0.015145
SHB,2022-04-27,1,0.012922
SHB,2022-05-06,1,0.007511
SHB,2022-05-13,1,0.019711
SHB,2022-09-06,-1,0.013925
SHB,2022-10-11,1,0.020032
SHB,2022-10-18,-1,0.003181
SHB,2022-10-25,1,0.013778
SHB,2022-11-01,1,0.001842
SHB,2022-11-15,1,0.021217
SHB,2022-12-06,-1,0.013362
SHB,2022-12-27,1,0.008214
SHB,2025-03-10,1,0.006861
SHB,2025-03-31,-1,0.01196
SHB,2025-07-04,1,0.01473
SHB,2025-08-15,-1,0.018473
SSB,2022-01-11,1,0.020792
SSB,2023-08-14,-1,0.007629
SSB,2023-08-21,1,0.002071
SSB,2024-09-06,1,0.000369
SSB,2024-09-13,1,0.018532
SSB,2024-09-20,1,0.006927
SSB,2025-08-08,-1,0.001161
SSB,2025-08-22,-1,0.016317
SSB,2025-09-09,-1,0.001008
SSB,2025-10-14,-1,0.006157
SSB,2025-10-21,1,0.005325
SSI,2022-01-25,1,0.019762
SSI,2022-04-05,-1,0.016644
SSI,2022-05-13,1,0.029989
SSI,2022-06-10,-1,0.021665
SSI,2022-06-17,1,0.016223
SSI,2022-08-26,-1,0.02275
SSI,2022-11-15,1,0.026447
SSI,2022-12-06,-1,0.023546
SSI,2022-12-20,-1,0.012354
SSI,2022-12-27,1,0.0152
SSI,2023-02-01,-1,0.02021
SSI,2023-02-08,1,0.000502
SSI,2023-09-20,-1,0.019315
SSI,2023-09-27,1,0.00229
SSI,2023-10-25,1,0.002126
SSI,2023-11-01,1,0.017876
SSI,2023-11-15,1,0.000843
SSI,2025-06-27,1,0.011304
SSI,2025-08-29,-1,0.014626
STB,2022-05-06,-1,0.002096
STB,2022-05-13,1,0.017728
STB,2022-08-26,-1,0.013602
STB,2022-10-11,1,0.010712
STB,2022-10-18,1,0.001926
STB,2022-10-25,1,0.021992
STB,2022-11-22,1,0.008812
STB,2022-12-06,-1,0.015567
STB,2025-10-14,-1,0.015742
STB,2025-12-16,1,0.009442
STB,2025-12-30,-1,0.007361
STB,2026-01-08,1,0.004291
TCB,2022-05-06,-1,0.000212
TCB,2022-05-13,1,0.015446
TCB,2022-09-13,-1,0.017339
TCB,2022-10-25,1,0.024475
TCB,2022-11-01,1,0.010342
TCB,2022-11-22,1,0.011501
TCB,2022-12-06,-1,0.012723
TCB,2022-12-13,-1,0.009681
TCB,2022-12-20,-1,0.014126
TCB,2022-12-27,1,0.004544
TCB,2023-10-25,1,0.000775
TCB,2023-11-01,1,0.011857
TCB,2023-11-08,1,0.002079
TCB,2025-10-14,-1,0.014792
TCB,2025-11-04,1,0.007363
TPB,2022-10-04,1,0.000913
TPB,2022-10-11,1,0.011292
TPB,2025-03-17,-1,0.008046
TPB,2025-04-08,1,0.017286
TPB,2025-08-01,1,0.007469
TPB,2025-08-08,-1,0.013736
TPB,2025-08-22,-1,0.024723
VCB,2022-01-25,-1,0.015833
VCB,2022-07-22,1,0.008139
VCB,2022-08-05,-1,0.004384
VCB,2022-09-20,-1,0.006951
VCB,2022-10-11,1,0.014652
VCB,2022-11-29,-1,0.000726
VCB,2022-12-06,-1,0.009869
VCB,2022-12-13,1,0.004517
VCB,2023-02-01,-1,0.006764
VCB,2026-01-08,1,0.007163
VCB,2026-01-15,-1,0.022608
VHM,2022-11-15,1,0.012778
VHM,2022-12-06,-1,0.022467
VHM,2022-12-13,-1,0.007637
VHM,2023-03-01,1,0.017484
VHM,2023-08-07,-1,0.014226
VHM,2023-11-01,1,0.008283
VHM,2025-02-17,1,0.012058
VHM,2025-05-09,-1,7.5e-05
VHM,2025-05-16,1,0.008708
VHM,2025-05-30,-1,0.014263
VHM,2025-10-07,-1,0.00342
VHM,2025-10-14,-1,0.026492
VHM,2025-11-11,1,0.029643
VHM,2025-12-09,1,0.003555
VHM,2025-12-16,1,0.016906
VHM,2026-01-08,-1,0.039998
VHM,2026-02-05,1,0.027115
VHM,2026-02-26,1,0.005601
VHM,2026-03-05,1,0.013682
VIB,2022-03-29,-1,0.000102
