symbol,date,mean_score,n_news
ACB,2015-06-01,-0.3914,2
ACB,2015-06-21,0.0558,1
ACB,2015-08-21,-0.3869,2
ACB,2015-10-05,-0.3496,1
ACB,2015-10-27,0.1234,2
ACB,2015-10-29,-0.387,1
ACB,2016-04-24,0.396,2
ACB,2016-07-20,-0.3818,3
ACB,2016-07-21,-0.3933,2
ACB,2016-07-25,-0.3034,1
ACB,2016-08-25,-0.3925,1
ACB,2016-08-31,-0.1132,1
ACB,2016-09-28,0.0304,1
ACB,2016-10-03,-0.379,1
ACB,2016-10-06,0.1311,2
ACB,2016-11-28,-0.0296,1
ACB,2016-12-01,-0.2805,2
ACB,2016-12-14,0.3958,2
ACB,2016-12-16,0.3962,2
ACB,2016-12-21,-0.385,1
ACB,2017-03-04,-0.3809,2
ACB,2017-04-04,-0.3571,1
ACB,2017-04-09,0.2611,1
ACB,2017-06-05,0.4776,2
ACB,2017-06-26,0.0849,2
ACB,2017-08-18,0.7943,2
ACB,2017-08-23,0.0064,2
ACB,2017-08-27,0.3085,1
ACB,2017-08-28,-0.3908,1
ACB,2017-09-17,0.1144,1
ACB,2017-09-27,-0.3925,2
ACB,2017-10-01,0.4446,1
ACB,2017-10-04,0.7777,2
ACB,2021-03-27,0.0069,1
ACB,2021-03-28,-0.381,1
ACB,2021-04-02,0.3848,2
ACB,2021-04-03,-0.7586,1
ACB,2021-04-07,-0.0119,1
ACB,2021-04-14,0.0051,1
ACB,2021-05-06,0.0182,1
ACB,2021-05-19,-0.3894,1
ACB,2021-06-12,0.3767,1
ACB,2021-06-18,-0.0072,1
ACB,2021-10-20,0.0056,1
ACB,2021-11-16,-0.3927,1
ACB,2022-01-14,0.1176,1
ACB,2022-01-25,-0.4272,1
ACB,2022-01-26,0.3942,1
ACB,2022-02-21,0.3545,1
ACB,2022-03-25,0.0103,1
ACB,2022-03-31,-0.0006,1
ACB,2022-04-03,0.0268,1
ACB,2022-05-26,-0.10035000000000001,2
ACB,2022-06-20,0.1864,1
ACB,2022-06-28,-0.278,1
ACB,2022-06-30,0.1444,1
ACB,2022-07-01,-0.0106,1
ACB,2022-07-09,-0.9836,2
ACB,2022-07-25,0.09035,2
ACB,2022-07-28,-0.5353,1
ACB,2022-08-17,0.4209,1
ACB,2022-08-19,0.3894,1
ACB,2022-10-22,-0.3447,1
ACB,2022-10-25,0.3674,1
ACB,2022-10-26,-0.0037,1
ACB,2022-11-14,0.2548,1
ACB,2022-11-15,-0.7912,1
ACB,2022-11-28,0.3506,1
ACB,2022-12-28,0.3956,1
ACB,2023-01-31,-0.0371,1
ACB,2023-02-06,0.1616,1
ACB,2023-02-15,0.0105,1
ACB,2023-02-24,0.3608,1
ACB,2023-03-28,-0.1802,1
ACB,2023-03-30,0.7805,1
ACB,2023-03-31,-0.0117,1
ACB,2023-05-11,-0.3842,1
ACB,2023-07-09,0.0176,1
ACB,2023-07-28,0.102,1
ACB,2023-09-06,-0.3917,1
ACB,2023-10-25,0.3934,1
ACB,2024-01-27,-0.4966,1
ACB,2024-02-28,0.7717,1
ACB,2024-03-22,0.311,1
ACB,2024-04-17,0.0022,1
ACB,2024-04-25,0.3105,2
ACB,2024-04-27,0.7939,1
ACB,2024-05-24,-0.9802,1
ACB,2024-06-26,-0.2697,1
ACB,2024-07-03,0.6582,1
ACB,2024-07-22,0.3901,1
ACB,2024-07-23,0.3318,1
ACB,2024-07-24,0.7909,1
ACB,2024-07-25,0.7597,1
ACB,2024-08-29,0.3614,1
ACB,2024-08-31,0.2729,1
ACB,2024-09-15,0.0446,1
ACB,2024-09-25,0.3086,1
ACB,2024-09-26,0.7917,1
ACB,2024-09-27,0.3896,1
ACB,2024-09-30,0.7573,1
ACB,2024-10-11,-0.18666666666666668,3
ACB,2024-10-14,0.0768,1
ACB,2024-10-18,0.0237,1
ACB,2024-10-20,-0.3935,1
ACB,2024-10-21,-0.0835,2
ACB,2024-10-23,0.2743,2
ACB,2024-10-24,0.3469,1
ACB,2024-10-25,0.7801,1
ACB,2024-10-26,-0.005,1
ACB,2024-10-28,0.052,1
ACB,2024-10-31,0.016500000000000015,2
ACB,2024-11-01,-0.9837,1
ACB,2024-11-03,-0.3933,1
ACB,2024-11-12,-0.5306,1
ACB,2024-11-13,0.7836,1
ACB,2024-11-15,0.394,1
ACB,2024-11-21,-0.03,2
ACB,2024-11-25,0.3883,1
ACB,2024-11-28,0.005,1
ACB,2024-12-05,0.36324999999999996,2
ACB,2024-12-06,-0.9439,1
ACB,2024-12-08,-0.1461,1
ACB,2024-12-09,0.7893,1
ACB,2024-12-12,0.0656,1
ACB,2024-12-13,0.3934,1
ACB,2024-12-15,-0.3885,1
ACB,2024-12-16,0.10693333333333332,3
ACB,2024-12-18,0.2191,1
ACB,2024-12-22,-0.391,1
ACB,2024-12-24,0.7716,1
